sub,cond,date,V1,Handling,Offer,Choice,RT,Experiment.Time,Block,HandleTime,TravelTime,condCode
105,cogTask,10052018,16,14,20,1,14.0002920627594,239.04443192482,1,16,4,2
105,cogTask,10052018,17,14,8,1,14.0004990100861,259.095171928406,1,16,4,2
105,cogTask,10052018,18,14,8,1,13.9997239112854,279.14450097084,1,16,4,2
105,cogTask,10052018,19,14,8,1,14.0002069473267,299.195837020874,1,16,4,2
105,cogTask,10052018,20,14,20,1,13.9994440078735,319.245506048203,1,16,4,2
105,cogTask,10052018,21,14,20,1,14.0003039836884,339.296446084976,1,16,4,2
105,cogTask,10052018,22,14,8,0,0.617347002029419,345.964339017868,1,16,4,2
105,cogTask,10052018,23,14,4,0,0.627860069274902,350.624984025955,1,16,4,2
105,cogTask,10052018,24,14,4,0,0.698052883148193,355.36158490181,1,16,4,2
105,cogTask,10052018,25,14,20,1,13.999832868576,373.396920919418,1,16,4,2
105,cogTask,10052018,26,14,20,1,14.0161900520325,393.463989019394,1,16,4,2
105,cogTask,10052018,27,14,4,0,0.390365123748779,399.905349969864,1,16,4,2
105,cogTask,10052018,28,14,8,1,14.0169539451599,417.948771953583,1,16,4,2
105,cogTask,10052018,29,2,4,1,1.99964904785156,431.96498298645,2,4,16,2
105,cogTask,10052018,30,2,8,1,1.99948406219482,452.015425920486,2,4,16,2
105,cogTask,10052018,31,2,20,1,1.99910688400269,472.065651893616,2,4,16,2
105,cogTask,10052018,32,2,8,1,2.00103998184204,492.11833190918,2,4,16,2
105,cogTask,10052018,33,2,20,1,2.01591801643372,512.183580875397,2,4,16,2
105,cogTask,10052018,34,2,4,1,1.99988508224487,532.234036922455,2,4,16,2
105,cogTask,10052018,35,2,8,1,2.01580905914307,552.301202058792,2,4,16,2
105,cogTask,10052018,36,2,4,1,1.99978995323181,572.352461099625,2,4,16,2
105,cogTask,10052018,37,2,20,1,1.9994580745697,592.402105093002,2,4,16,2
105,cogTask,10052018,38,2,8,1,2.01701498031616,612.470118999481,2,4,16,2
105,cogTask,10052018,39,2,4,1,1.99949407577515,632.519989013672,2,4,16,2
105,cogTask,10052018,40,2,20,1,2.01612091064453,652.586939096451,2,4,16,2
105,cogTask,10052018,41,2,4,1,1.99926090240479,672.63737487793,2,4,16,2
105,cogTask,10052018,42,2,8,1,2.01777601242065,692.706528902054,2,4,16,2
105,cogTask,10052018,43,2,20,1,1.99909210205078,712.754997014999,2,4,16,2
105,cogTask,10052018,44,2,4,1,1.99993014335632,732.806298017502,2,4,16,2
105,cogTask,10052018,45,2,8,1,2.01656603813171,752.872483968735,2,4,16,2
105,cogTask,10052018,46,2,20,1,1.99919009208679,772.923145055771,2,4,16,2
105,cogTask,10052018,47,2,8,1,1.99922895431519,792.973540067673,2,4,16,2
105,cogTask,10052018,48,2,20,1,2.00009298324585,813.024899959564,2,4,16,2
105,cogTask,10052018,49,2,8,1,2.00038290023804,833.074492931366,2,4,16,2
105,cogTask,10052018,50,10,20,1,10.0160851478577,867.175395011902,3,12,8,2
105,cogTask,10052018,51,10,8,1,9.99930000305176,887.225817918777,3,12,8,2
